,feature_id
1362,22164698
1363,22165292
1364,22164586
1365,22165282
1366,22164756
1367,22164666
1368,22164670
1369,22165286
1370,22165276
1371,22164542
1372,22165298
1373,22165272
1374,22165274
1375,22164606
1376,22165288
1377,22165284
1378,22164482
1379,22164536
1380,22164462
1381,22164510
1382,22165564
1383,22164624
1384,22165322
1385,22164494
1386,22165304
1387,22164484
1388,22165290
1389,22165314
1390,22165316
1391,22165320
1392,22165302
1393,22165318
1394,22165446
1395,22164588
1396,22164576
1397,22164490
1398,22165310
1399,22165306
1400,22164602
1401,22164580
1402,22165308
1403,22165312
1404,22164578
1405,22164620
1406,22164472
1407,22164446
1408,22164470
1409,22164562
1410,22164544
1411,22164556
1412,22164522
1413,22164518
1414,22164386
1415,22164532
1416,22164552
1417,22164294
1418,22164582
1419,22164600
1420,22164480
1421,22164478
